run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,50,50,552.0,863.0,340.0,27.0,297.0,94.84196143218642,20.949158331670525,true
2,50,50,634.0,830.0,371.0,36.0,269.0,93.14781838783087,5.637414517073138,true
3,50,50,602.0,798.0,406.0,14.0,370.0,99.00839351358059,14.454272774256898,true
4,50,50,493.0,961.0,242.0,35.0,279.0,95.98286285563722,16.28277817934261,true
5,50,50,472.0,891.0,310.0,44.0,240.0,93.56538922540801,1.0960035452832246,true
6,50,50,565.0,910.0,295.0,24.0,312.0,97.59717122611866,32.86156931059254,true
7,50,50,608.0,884.0,319.0,17.0,311.0,98.79512613672851,28.897522090120102,true
8,50,50,564.0,877.0,325.0,32.0,324.0,98.49663723275489,73.86638654370931,true
9,50,50,483.0,929.0,276.0,34.0,274.0,96.40522137110725,13.257201477634883,true
10,50,50,640.0,897.0,304.0,28.0,295.0,98.99540694051953,17.155222649519107,true
