run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,0,50,1.0,390.0,813.0,42.0,194.0,86.85737749641318,0.0,true
2,0,50,4.0,393.0,808.0,40.0,196.0,86.6036214986359,0.0,true
3,0,50,7.0,398.0,805.0,37.0,196.0,86.85910495574772,0.0,true
4,0,50,3.0,382.0,819.0,40.0,192.0,87.33807019611936,0.0,true
5,0,50,8.0,392.0,809.0,39.0,202.0,87.36244596512134,0.0,true
6,0,50,4.0,363.0,839.0,36.0,200.0,85.50672887669441,0.0,true
7,0,50,8.0,424.0,777.0,36.0,184.0,84.9663625249289,0.0,true
8,0,50,2.0,382.0,820.0,35.0,192.0,87.85645456630628,0.0,true
9,0,50,5.0,404.0,798.0,36.0,187.0,85.8804853564213,0.0,true
10,0,50,2.0,440.0,761.0,38.0,187.0,86.41488773351935,0.0,true
