run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,50,0,766.0,1089.0,127.0,15.0,448.0,97.88517978694829,46.206787242786646,true
2,50,0,717.0,1101.0,113.0,16.0,434.0,99.49802993998647,56.461927951128615,true
3,50,0,647.0,1084.0,122.0,15.0,334.0,97.687958853043,33.08878167921575,true
4,50,0,651.0,1100.0,113.0,10.0,361.0,98.72051461977087,47.00248776969608,true
5,50,0,667.0,1081.0,122.0,25.0,386.0,98.58258861146624,57.398306712305086,true
6,50,0,662.0,1063.0,142.0,28.0,334.0,98.59362272561276,53.98214332219023,true
7,50,0,658.0,1063.0,141.0,24.0,323.0,96.97443456968952,53.73669628873113,true
8,50,0,735.0,1013.0,142.0,78.0,0.0,99.55102086949363,96.61339077258063,false
9,50,0,635.0,1071.0,136.0,16.0,348.0,97.62381693614303,36.45489792588264,true
10,50,0,679.0,1096.0,111.0,19.0,350.0,98.95139252800452,31.377171112292697,true
