run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,100,0,837.0,146.0,0.0,445.0,223.0,76.23911791388275,97.88760903420766,false
2,100,0,837.0,160.0,0.0,449.0,228.0,78.54329208471707,98.13829457098494,false
3,100,0,837.0,131.0,0.0,414.0,216.0,75.823288009774,98.18175364663023,false
4,100,0,837.0,180.0,0.0,430.0,222.0,75.98260452325327,96.39023028154259,false
5,100,0,840.0,229.0,0.0,434.0,224.0,79.82137197762106,96.69056315504949,false
6,100,0,843.0,154.0,0.0,430.0,215.0,77.90412528712079,96.98900588833432,false
7,100,0,837.0,173.0,0.0,436.0,232.0,78.77052002880889,98.11824985702776,false
8,100,0,838.0,171.0,0.0,408.0,219.0,76.75457569480217,99.32316498936733,false
9,100,0,837.0,100.0,0.0,446.0,213.0,75.65359699559228,98.21289510567901,false
10,100,0,836.0,153.0,0.0,433.0,228.0,76.16075465896812,97.5060358369014,false
