run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,100,100,836.0,135.0,226.0,270.0,279.0,87.59241681701921,82.37476359769015,false
2,100,100,838.0,186.0,170.0,309.0,250.0,74.4657628797108,77.55030611285717,false
3,100,100,838.0,186.0,212.0,277.0,242.0,77.06370114531492,75.49994175927499,false
4,100,100,839.0,127.0,171.0,326.0,252.0,85.42750799414519,78.62656925798913,false
5,100,100,837.0,121.0,136.0,358.0,240.0,87.52637453540679,73.49099271388573,false
6,100,100,838.0,352.0,220.0,275.0,288.0,89.34384973690025,74.69124372862386,false
7,100,100,836.0,185.0,178.0,321.0,273.0,93.31876766204084,77.73767407065358,false
8,100,100,836.0,174.0,155.0,339.0,249.0,84.84912439478786,70.00177597500529,false
9,100,100,836.0,195.0,235.0,259.0,283.0,90.04932334039533,77.91510776535425,false
10,100,100,839.0,174.0,170.0,329.0,259.0,90.45286936005787,70.48600179751556,false
