run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,50,100,351.0,774.0,429.0,46.0,256.0,97.70205546997522,0.0,true
2,50,100,338.0,688.0,515.0,35.0,248.0,95.95076514579178,5.786086108016487,true
3,50,100,312.0,632.0,572.0,9.0,298.0,96.4759196337639,42.26337591835182,true
4,50,100,333.0,700.0,502.0,46.0,240.0,93.84715558654672,0.0,true
5,50,100,349.0,642.0,559.0,14.0,269.0,96.54968339284012,11.957955764212835,true
6,50,100,405.0,755.0,447.0,48.0,248.0,94.96986393074316,0.0,true
7,50,100,353.0,739.0,464.0,46.0,257.0,98.29472865353233,0.0,true
8,50,100,410.0,709.0,492.0,47.0,242.0,94.01697843977291,0.0,true
9,50,100,403.0,749.0,453.0,48.0,246.0,95.72443331069196,0.0,true
10,50,100,350.0,654.0,547.0,37.0,254.0,95.77717011670853,0.007315990079377396,true
