run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration,texian_side_morale,mexican_side_morale,texian_win
1,100,50,836.0,171.0,39.0,398.0,231.0,82.10753070654272,86.20916866766453,false
2,100,50,838.0,207.0,66.0,348.0,239.0,75.18376924757912,95.46462593646228,false
3,100,50,837.0,167.0,48.0,384.0,244.0,77.42730381904424,94.91556068809,false
4,100,50,838.0,175.0,105.0,322.0,240.0,74.99776674824922,95.82368361544795,false
5,100,50,837.0,174.0,82.0,343.0,244.0,76.3539524325343,95.3448910249302,false
6,100,50,837.0,183.0,75.0,340.0,237.0,77.6227128722889,94.32048044927821,false
7,100,50,840.0,151.0,55.0,390.0,221.0,74.1629279739406,89.63879803036257,false
8,100,50,838.0,199.0,80.0,347.0,240.0,77.09648249283315,91.91216566775454,false
9,100,50,837.0,182.0,97.0,335.0,233.0,74.54926281569931,94.29075259334532,false
10,100,50,837.0,240.0,60.0,373.0,245.0,86.88747291744299,88.70454920539665,false
